PID,Name,Username,CPU%,RAM%,CreateTime
0,System Idle Process,NT AUTHORITY\SYSTEM,0.0,0.00010282739342326276,0.0
4,System,NT AUTHORITY\SYSTEM,0.0,0.0019023067783303608,0.0
88,,,0.0,0.3236492207997195,1710005988.5936828
156,Registry,,0.0,0.5765531949242342,1710005988.7428205
532,smss.exe,,0.0,0.014138766595698628,1710005993.2313824
1036,csrss.exe,,0.0,0.06771183856921852,1710006001.214017
1080,svchost.exe,,0.0,0.22771126273581538,1710006003.0939271
1136,svchost.exe,,0.0,0.10580938783253735,1710006003.113412
1216,svchost.exe,,0.0,0.12082218727233372,1710006003.4341304
1260,svchost.exe,,0.0,0.07758326833785173,1710006003.4448557
1492,svchost.exe,,0.0,0.09023103772891307,1710006003.408564
1656,svchost.exe,,0.0,0.12349569950133857,1710006003.4279907
1664,svchost.exe,,0.0,0.12010239551837089,1710006003.4291103
1696,svchost.exe,,0.0,0.06879152620016277,1710006003.4343407
1700,wininit.exe,,0.0,0.07958840250960536,1710006002.8216205
1772,services.exe,,0.0,0.15619481060993612,1710006002.8646758
1796,LsaIso.exe,,0.0,0.04344457372132851,1710006002.8836398
1808,lsass.exe,,0.0,0.25773686161540804,1710006002.8875904
1836,svchost.exe,,0.0,0.21203008523876776,1710006003.438835
1848,svchost.exe,,0.0,0.1919273298245199,1710006003.4364657
1900,vivaldi.exe,DESKTOP-HLV4EN6\Aditya,0.0,0.2614900614753572,1710047623.7251513
1924,conhost.exe,DESKTOP-HLV4EN6\Aditya,0.0,0.015886832283894092,1710047375.4331353
1988,svchost.exe,,0.0,0.4046257931205389,1710006002.9986353
2008,fontdrvhost.exe,,0.0,0.04010268343507247,1710006003.0083325
2060,python.exe,DESKTOP-HLV4EN6\Aditya,0.0,0.1943951872666782,1710051937.4640481
2116,svchost.exe,,0.0,0.16935671696811375,1710006003.459541
2140,AMDRSServ.exe,DESKTOP-HLV4EN6\Aditya,0.0,1.0689935820282395,1710047375.6137695
2172,svchost.exe,,0.0,0.10287880711997437,1710006003.47083
2244,svchost.exe,,0.0,0.08102798601753104,1710006003.4793396
2308,svchost.exe,,0.0,0.09804591962908103,1710006003.4923167
2392,svchost.exe,,0.0,0.23362383785765295,1710006003.5136876
2492,nvcontainer.exe,DESKTOP-HLV4EN6\Aditya,0.0,0.40719647795612046,1710047348.1340756
2548,svchost.exe,,0.0,0.08400998042680566,1710006003.538816
2596,svchost.exe,,0.0,0.11547516281432406,1710051695.5210369
2652,svchost.exe,,0.0,0.11902270788742664,1710006003.555376
2660,svchost.exe,,0.0,0.15310998880723822,1710006003.555429
2668,svchost.exe,,0.0,0.09295596365462952,1710006003.5559309
2676,python.exe,DESKTOP-HLV4EN6\Aditya,0.0,0.04385588329502156,1710051937.4583027
2900,svchost.exe,,0.0,0.10740321243059793,1710006003.6143684
2928,svchost.exe,,0.0,0.13655477846609293,1710006003.6201882
2996,NVDisplay.Container.exe,,0.0,0.5078644961174947,1710018751.716356
3120,svchost.exe,,0.0,0.15316140250394986,1710006003.726941
3152,svchost.exe,,0.0,0.10550090565226758,1710006135.6465456
3192,vivaldi.exe,DESKTOP-HLV4EN6\Aditya,0.0,2.660196081556519,1710047417.1539488
3196,svchost.exe,,0.0,0.1476601369558053,1710006003.740976
3224,svchost.exe,,0.0,0.2300762927845504,1710006003.7603714
3232,svchost.exe,,0.0,0.1373259839167674,1710006003.7616196
3288,AMDRSSrcExt.exe,DESKTOP-HLV4EN6\Aditya,0.0,0.7575808210458883,1710047675.841254
3328,svchost.exe,,0.0,0.08231332843532183,1710006003.7835836
3344,svchost.exe,,0.0,0.2763486198250186,1710006056.1880877
3380,svchost.exe,,0.0,0.2365030048735043,1710016571.159263
3404,smartscreen.exe,DESKTOP-HLV4EN6\Aditya,0.0,0.1135728560359937,1710051721.6520123
3416,Code.exe,DESKTOP-HLV4EN6\Aditya,0.0,1.0718213353473793,1710050110.454958
3456,svchost.exe,,0.0,0.18658030536651024,1710006003.8619568
3500,svchost.exe,,0.0,0.09794309223565777,1710006004.4538593
3504,svchost.exe,,0.0,0.07578378895294464,1710006004.4530585
3524,svchost.exe,,0.0,0.16133618028109925,1710006004.452998
3536,fontdrvhost.exe,,0.0,0.0889971090078339,1710018748.1270735
3540,NVDisplay.Container.exe,,0.0,0.38010145978909077,1710006003.9113245
3624,NVIDIA Share.exe,DESKTOP-HLV4EN6\Aditya,0.0,0.6918741166484234,1710047366.5178623
3644,atiesrxx.exe,,0.0,0.08133646819780083,1710006004.0376449
3652,amdfendrsr.exe,,0.0,0.08529532284459644,1710006004.0377958
3660,svchost.exe,,0.0,0.09331585953161094,1710006004.0378015
3668,AsusCertService.exe,,0.0,0.0743956191417306,1710006004.0378647
3696,Code.exe,DESKTOP-HLV4EN6\Aditya,0.0,0.5271446323843565,1710050109.24511
3876,AcPowerNotification.exe,DESKTOP-HLV4EN6\Aditya,0.0,0.10802017679113751,1710047348.6914048
3936,svchost.exe,,0.0,0.23557755833269492,1710006004.3004785
3992,svchost.exe,,0.0,0.08760893919661986,1710006004.3399124
4012,MemCompression,,0.0,0.5315662103015568,1710006004.4833477
4080,vivaldi.exe,DESKTOP-HLV4EN6\Aditya,0.0,4.765998271471517,1710047417.4942884
4092,dllhost.exe,DESKTOP-HLV4EN6\Aditya,0.0,0.1756806016636444,1710047445.3903997
4112,svchost.exe,,0.0,0.09830298811263917,1710006004.484244
4128,svchost.exe,,0.0,0.09712047308827165,1710006004.4844887
4164,WmiPrvSE.exe,,0.0,0.17346981270504425,1710006004.4963002
